,year,count
0,2012,6320
1,2013,6056
2,2011,4379
3,2008,4017
4,2009,3677
5,2010,3548
6,2007,3470
7,2004,3244
8,2005,3228
9,2003,2958
10,2006,2884
11,2001,2445
12,2002,2439
13,1999,2253
14,2000,2184
15,2014,1964
16,1998,1404
17,1997,1009
18,1995,915
19,1996,646
20,1994,324
21,1978,258
22,1975,247
23,1993,228
24,1976,222
25,1974,219
26,1977,206
27,1989,200
28,1980,194
29,1979,191
30,1990,191
31,1973,188
32,1988,188
33,1992,183
34,1991,180
35,1987,176
36,1968,175
37,1985,171
38,1965,164
39,1966,160
40,1986,153
41,1967,147
42,1984,144
43,1982,134
44,1981,133
45,1983,122
46,1969,120
47,1972,119
48,1970,109
49,1971,97
50,1964,78
51,1963,68
52,1957,62
53,1962,56
54,1960,51
55,1959,43
56,1958,42
57,1961,41
58,1956,39
59,1954,38
60,1952,37
61,1947,33
62,1953,26
63,1955,25
64,1950,21
65,1949,15
66,1951,13
67,1946,8
68,1945,7
69,1948,7
70,1944,3
71,1939,3
72,1937,2
73,1942,2
74,1910,2
75,1931,2
76,1936,1
77,1943,1
78,1925,1
79,1929,1
80,1941,1
81,1934,1
82,1920,1
